Job_Title,Experience_Level,Green_Skill_Requirement,Salary_USD,Carbon_Offset_Tons,Remote_Allowed,Training_Hours
Solar Technician,Entry,High,52000,120,No,40
Wind Energy Analyst,Mid,High,85000,350,Yes,60
Sustainability Manager,Senior,Medium,115000,,Yes,30
Carbon Accountant,Mid,High,95000,450,Yes,80
Energy Auditor,Entry,Medium,58000,90,No,
Recycling Specialist,Entry,Medium,45000,200,No,24
ESG Analyst,Mid,Medium,92000,,Yes,50
Environmental Engineer,Senior,High,105000,500,Yes,70
Eco-designer,Mid,High,78000,150,Yes,
Conservation Scientist,Mid,Medium,72000,300,No,40
Climate Policy Officer,Senior,Low,98000,80,Yes,20
Smart Grid Engineer,Senior,High,120000,600,No,100
Renewable Consultant,Mid,Medium,88000,,Yes,45
Waste Management Officer,Entry,Medium,48000,180,No,30
Geothermal Specialist,Senior,High,110000,400,No,90
Organic Agriculturist,Entry,High,42000,250,No,
Carbon Policy Analyst,Mid,Low,80000,70,Yes,25
Biofuel Developer,Senior,High,112000,480,No,80
Hydrologist,Mid,Medium,84000,220,Yes,35
Green Architect,Senior,High,125000,550,Yes,110
